,class,kindom,phylum,class,order,family,genus,species
k_Bacteria|p_Thermodesulfobacteria|c_Thermodesulfobacteria|o_Thermodesulfobacteriales|f_Thermodesulfobacteriaceae|g_Thermosulfurimonas|s_Thermosulfurimonas_marina,species,k_Bacteria,p_Thermodesulfobacteria,c_Thermodesulfobacteria,o_Thermodesulfobacteriales,f_Thermodesulfobacteriaceae,g_Thermosulfurimonas,s_Thermosulfurimonas_marina
k_Bacteria|p_Thermodesulfobacteria|c_Thermodesulfobacteria|o_Thermodesulfobacteriales|f_Thermodesulfobacteriaceae|g_Thermosulfuriphilus,genus,k_Bacteria,p_Thermodesulfobacteria,c_Thermodesulfobacteria,o_Thermodesulfobacteriales,f_Thermodesulfobacteriaceae,g_Thermosulfuriphilus,
k_Bacteria|p_Thermodesulfobacteria|c_Thermodesulfobacteria|o_Thermodesulfobacteriales|f_Thermodesulfobacteriaceae|g_Thermosulfuriphilus|s_Thermosulfuriphilus_ammonigenes,species,k_Bacteria,p_Thermodesulfobacteria,c_Thermodesulfobacteria,o_Thermodesulfobacteriales,f_Thermodesulfobacteriaceae,g_Thermosulfuriphilus,s_Thermosulfuriphilus_ammonigenes
k_Bacteria|p_Calditrichaeota,phylum,k_Bacteria,p_Calditrichaeota,,,,,
k_Bacteria|p_Calditrichaeota|c_Calditrichae,class,k_Bacteria,p_Calditrichaeota,c_Calditrichae,,,,
k_Bacteria|p_Calditrichaeota|c_Calditrichae|o_Calditrichales,order,k_Bacteria,p_Calditrichaeota,c_Calditrichae,o_Calditrichales,,,
k_Bacteria|p_Calditrichaeota|c_Calditrichae|o_Calditrichales|f_Calditrichaceae,family,k_Bacteria,p_Calditrichaeota,c_Calditrichae,o_Calditrichales,f_Calditrichaceae,,
k_Bacteria|p_Calditrichaeota|c_Calditrichae|o_Calditrichales|f_Calditrichaceae|g_Caldithrix,genus,k_Bacteria,p_Calditrichaeota,c_Calditrichae,o_Calditrichales,f_Calditrichaceae,g_Caldithrix,
k_Bacteria|p_Calditrichaeota|c_Calditrichae|o_Calditrichales|f_Calditrichaceae|g_Caldithrix|s_Caldithrix_abyssi,species,k_Bacteria,p_Calditrichaeota,c_Calditrichae,o_Calditrichales,f_Calditrichaceae,g_Caldithrix,s_Caldithrix_abyssi
k_Bacteria|p_Deferribacteres,phylum,k_Bacteria,p_Deferribacteres,,,,,
