Classification	MFVF11801	MFVF11802	MFVF11803	MFVF11804	MFVF11806	MFVF11807	MFVF11808	MFVF11809	MFVF11815	MFVF11817	MFVF11818	MFVF11819	MFVF11821	MFVF11822	MFVF11823	MFVF11824	MFVF11825	MFVF11829	MFVF11836	MFVF11837	MFVF11838	MFVF11839	MFVF11841	MFVF11842	MFVF11844	MFVF11845
group	low	low	high	high	high	low	low	high	high	low	high	high	high	high	low	low	low	high	high	high	low	high	high	high	low	high
k_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Bacillus|s_Bacillus_thuringiensis	1.50E-05	1.63E-05	3.32E-05	3.08E-05	0.000120336	1.79E-05	2.19E-05	2.41E-05	6.34E-05	0.000340803	1.38E-05	4.31E-05	0.000205768	0.000110002	5.90E-05	0.000131869	4.35E-05	3.55E-05	6.44E-05	7.13E-05	5.95E-05	3.62E-05	2.10E-05	0.000155777	8.32E-05	1.96E-05
k_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Bacillus|s_Bacillus_velezensis	9.38E-06	9.63E-06	2.39E-05	3.85E-05	0.00015975	0.000191532	2.01E-05	1.06E-05	0.000272249	0.000159646	6.24E-05	1.79E-05	2.05E-05	8.18E-06	3.63E-05	0.000525221	5.22E-06	8.32E-05	2.12E-05	0.0001971	4.05E-05	0.000139208	8.82E-05	1.34E-05	0.000152528	3.00E-05
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides_caccae	0.001158024	0.006485182	0.067709028	0.00557435	0.000364844	0.000406717	0.00441355	0.000210293	0.006055128	0.001568954	0.000331097	0.000868751	0.000576066	0.000448586	0.012134285	0.008929486	0.006892355	0.000213796	0.000457629	0.000496219	0.000106365	0.000465382	0.00079484	0.000353782	0.000262696	0.000256954
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides_caecimuris	0.000507987	0.0003863	0.001212478	0.00201466	0.001950622	0.004926163	0.002776878	0.000853499	0.000564825	0.00095722	0.001728567	0.000855346	0.000407342	0.000855884	0.000654385	0.00082353	0.00063398	0.000636942	0.000691832	0.000942495	0.001467694	0.00316991	0.00073309	0.000383468	0.000335314	0.000880432
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides_cellulosilyticus	0.00035726	0.000353991	0.019853013	0.004185864	0.002782507	0.000285042	0.010393697	0.000449146	0.001526364	0.00568742	0.001463518	0.001271861	0.00203098	0.001198457	0.000440548	0.004108533	0.00083995	0.000376788	0.001460801	0.001499026	0.001849921	0.002343037	0.000716664	0.00096984	0.000849069	0.000562314
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides_coprosuis	3.26E-05	2.46E-05	5.34E-05	0.000117549	0.000101919	8.60E-05	4.17E-05	0.000130541	9.25E-05	5.07E-05	0.000107206	0.000135543	0.000161315	0.000210829	8.26E-05	0.000164273	9.96E-05	6.50E-05	0.000321817	0.000198777	0.000134175	8.54E-05	0.000113117	0.000299086	0.000215371	0.000110112
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides_fragilis	0.03880506	0.388323172	0.022022411	0.083182127	0.018674547	0.142800737	0.010231343	0.011775467	0.004624549	0.026771058	0.004798402	0.143840726	0.005916527	0.006260558	0.011322802	0.01629098	0.3178785	0.393366722	0.005734933	0.062126073	0.012992359	0.007693424	0.004972805	0.004225573	0.00430004	0.008677819
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides_helcogenes	0.000164469	0.000161903	0.000426323	0.000771948	0.00034831	0.000396133	0.001618887	0.000276102	0.000887125	0.000220812	0.000378004	0.000647688	0.000358067	0.000468333	0.000189321	0.000258414	0.000275207	0.000269048	0.000721869	0.000472811	0.000135534	0.000398243	0.000253593	0.000585927	0.000418405	0.000417405
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides_heparinolyticus	0.000160769	0.000127938	0.000304825	0.0005568	0.000325987	0.000361526	0.000805902	0.0002629	0.000624482	0.000235226	0.000243216	0.000797459	0.000291528	0.000406699	0.000174071	0.000289373	0.000282572	0.000141565	0.00058456	0.000401214	0.000175331	0.000316891	0.000234804	0.000536425	0.000394122	0.000316649
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides_intestinalis	0.000652944	0.002910682	0.005514325	0.000653832	0.001894117	0.00066019	0.001556733	0.000599692	0.000841808	0.024422968	0.000277341	0.00674025	0.000311518	0.000959703	0.000162018	0.000343529	0.006013702	0.000108145	0.000535863	0.008857823	0.022951995	0.000619233	0.000199259	0.000495013	0.000375347	0.000285951
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides_ovatus	0.003009867	0.003735057	0.017843584	0.013858908	0.010591693	0.020520386	0.06493744	0.003844011	0.009263438	0.004489707	0.014761162	0.028231888	0.006311148	0.012339307	0.014126137	0.014480279	0.005125407	0.000369646	0.003669515	0.008961901	0.00104527	0.015947603	0.008736374	0.004623439	0.002686313	0.004946381
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides_thetaiotaomicron	0.003803319	0.004759028	0.013595076	0.015150816	0.086993273	0.00730664	0.023099757	0.007582607	0.009657159	0.004425321	0.013238078	0.010012836	0.013994175	0.021523254	0.004800025	0.014230621	0.005324011	0.002425877	0.017220167	0.008048685	0.009408552	0.010951481	0.007906263	0.01327823	0.013824755	0.007811614
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides_uniformis	0.01045578	0.007581691	0.034782409	0.003801477	0.014591648	0.024044622	0.066034343	0.000944433	0.002825378	0.01300379	0.002581262	0.006982356	0.001230344	0.008577089	0.00368812	0.00414229	0.002668501	0.000242028	0.00072097	0.006451529	0.000979022	0.026066852	0.001304443	0.000723966	0.00045518	0.00472925
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides_xylanisolvens	0.001198855	0.002371282	0.00519262	0.005515179	0.011002369	0.047647185	0.018410363	0.004503181	0.008329395	0.001529444	0.010602449	0.006885903	0.007848746	0.008893532	0.005124471	0.003962493	0.006120303	0.001613815	0.014936512	0.005255358	0.001816437	0.025324585	0.008384991	0.011380778	0.008816537	0.011103454
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides_zoogleoformans	0.0001365	0.000129543	0.000223859	0.000565869	0.000323476	0.000433776	0.000572331	0.000276911	0.000537398	0.000253956	0.000315564	0.000418237	0.000641068	0.000618027	0.000320018	0.000310674	0.000203157	0.000204363	0.000734242	0.000456722	0.000311184	0.000302582	0.000434118	0.000651087	0.000510496	0.000491947
k_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Barnesiellaceae|g_Barnesiella|s_Barnesiella_viscericola	0.000712803	0.000211711	0.000444626	0.000858778	0.000560659	0.000368797	0.000398438	0.000359223	0.000490202	0.001650606	0.00037568	0.000549512	0.000423138	0.000527672	0.000320428	0.000381708	0.000287795	0.000166496	0.000661596	0.00037346	0.000281136	0.000493425	0.000345009	0.000678472	0.000539357	0.000379825
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium_adolescentis	0.012985894	0.006470737	0.000437069	0.034139609	0.013206568	0.00100156	0.026729227	0.031258626	0.037094335	0.005575843	0.017401622	0.007544823	0.005105547	0.009308809	0.037449412	0.044545347	0.014458866	0.054835886	0.017196318	9.63E-05	0.004142563	0.00570044	0.024970108	0.009344099	0.006338302	0.016123141
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium_angulatum	7.08E-05	4.96E-05	6.09E-05	0.001122442	0.001624077	3.97E-05	6.95E-05	6.61E-05	0.005032888	9.81E-05	0.000798021	0.000194553	7.12E-05	4.28E-05	0.001302128	0.001160199	0.000371362	0.000136309	7.72E-05	2.91E-05	7.70E-05	0.000184478	6.81E-05	0.000685671	3.05E-05	6.05E-05
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium_animalis	4.77E-05	6.14E-05	2.28E-05	0.00022331	3.45E-05	5.04E-05	9.40E-05	8.40E-05	0.000106366	0.000864007	5.15E-05	0.000464592	5.76E-05	3.20E-05	0.000118562	0.000160843	3.00E-05	8.15E-05	6.44E-05	9.73E-05	0.000163024	0.00013246	6.55E-05	2.51E-05	2.09E-05	0.000101606
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium_bifidum	0.001884349	0.008066831	0.000130527	0.000820124	0.000128358	6.76E-05	9.28E-05	8.03E-05	0.019479365	0.000224324	8.78E-05	0.00078398	3.40E-05	5.35E-05	0.003519707	0.000265725	7.26E-05	9.18E-05	6.27E-05	8.97E-05	0.000100771	0.00022726	6.43E-05	6.98E-05	3.27E-05	0.00095598
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium_breve	0.000174027	0.000207362	0.000387263	0.00052268	0.000242555	0.000223101	0.000330534	0.000265055	0.000576868	0.000265955	0.000245173	0.00011173	7.73E-05	0.000123167	0.000315836	0.000365732	0.00016874	0.000188125	9.54E-05	0.000376815	0.000776361	0.000420447	0.000164154	0.000213294	4.30E-05	0.000171277
