group	low	low	high	high	high	low	low	high	high	low	high	high	high	high	low	low	low	high	high	high	low	high	high	high	low	high
g_Clostridiales	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
g_Clostridium	0.0018	0.0024	0.0012	0.0023	0.0021	0.0014	0.0007	0.0004	0.0013	0.0005	0.001	0.0014	0.0008	0.0014	0.0018	0.0005	0.0004	0.0008	0.0021	0.0005	0.0015	0.0004	0.0005	0.0002	0.0002	0.0006
g_Cobetia	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.00E-04	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.00E-04	0.00E+00	0.00E+00
g_Collinsella	0.0026	0.0009	0.0008	0.0008	0.0023	0.0014	0.0005	0.0003	0.0009	0.0052	0.0008	0.0004	0.0002	0.0004	0.002	0.001	0.0012	0.0025	0.0006	0.0002	0.0005	0.0003	0.0007	0.0005	0.0026	0.0009
g_Comamonas	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	4.00E-04	0.00E+00	0.00E+00	0.00E+00
g_Coprobacillus	0	0	0	0	0	0.0001	0	0	0	0	0	0.0013	0	0	0.0005	0	0	0	0	0.0004	0	0	0	0	0	0
g_Coprobacter	0	0.0001	0	0	0.0058	0	0.0001	0.0001	0.0001	0	0	0.0002	0	0.0001	0.0002	0.0002	0.0002	0	0	0.0001	0	0	0	0.0002	0	0.0001
g_Coprococcus	0.0033	0.0021	0.0027	0.0092	0.0371	0.0166	0.0138	0.0056	0.0219	0.0074	0.0281	0.0161	0.0119	0.0038	0.0229	0.0195	0.0031	0.0088	0.0089	0.02	0.0225	0.0117	0.0019	0.0072	0.0086	0.0106
g_Corynebacterium	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	1.00E-04	4.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.00E-04	0.00E+00	3.00E-04	2.00E-04
g_Defluviitaleaceae	1.00E-04	0.00E+00	0.00E+00	1.00E-04	0.00E+00	1.00E-04	2.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	1.00E-04	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.00E-04	4.00E-04	1.00E-04	0.00E+00	0.00E+00
